start_time,model_name,model_pkl_path,device,learning_rate,batch size,encoder_sequence_length,decoder_sequence_length,best_train_l1_loss,best_train_mse_loss,best_valid_l1_loss,best_valid_mse_loss,epoch_for_best_valid_loss,train_mse_curve,valid_mse_curve
2019-11-04 12:47:32.801101,EDLSTM_nD,../rnn_model/saved_pkl_model/EDLSTM_nD.pkl,cuda:0,2.9999999999999997e-05,32.0,40.0,8.0,1000.0,1000.0,1000.0,1000.0,0.0,"[1, 2, 3]","[1, 2, 3]"
2019-11-04 12:55:40.438553,EDLSTM_nD,../rnn_model/saved_pkl_model/EDLSTM_nD.pkl,cuda:0,3e-05,32.0,40.0,8.0,1000.0,1000.0,1000.0,1000.0,0.0,"[1, 2, 3]","[1, 2, 3]"
2019-11-04 12:57:00.197276,EDLSTM_nD,../rnn_model/saved_pkl_model/EDLSTM_nD.pkl,cuda:0,2.9999999999999997e-05,32.0,40.0,8.0,1000.0,1000.0,1000.0,1000.0,0.0,"[1, 2, 3]","[1, 2, 3]"
2019-11-04 13:22:47.113037,EDLSTM_nD,../rnn_model/saved_pkl_model/EDLSTM_nD.pkl,cuda:0,3e-05,32.0,40.0,8.0,1000.0,1000.0,1000.0,1000.0,0.0,"[1, 2, 3]","[1, 2, 3]"
2019-11-04 13:32:39.906505,EDLSTM_nD,../rnn_model/saved_pkl_model/EDLSTM_nD.pkl,cuda:0,2.9999999999999997e-05,32.0,40.0,8.0,1000.0,1000.0,1000.0,1000.0,0.0,"[1, 2, 3]","[1, 2, 3]"
2019-11-04 13:41:25.066414,EDLSTM_nD,../rnn_model/saved_pkl_model/EDLSTM_nD.pkl,cuda:0,3e-05,32.0,40.0,8.0,1000.0,1000.0,1000.0,1000.0,0.0,"[1, 2, 3]","[1, 2, 3]"
2019-11-04 14:09:40.764461,EDLSTM_nD,../rnn_model/saved_pkl_model/EDLSTM_nD.pkl,cuda:0,2.9999999999999997e-05,32.0,40.0,8.0,1000.0,1000.0,1000.0,1000.0,0.0,"[1, 2, 3]","[1, 2, 3]"
2019-11-04 14:09:55.595521,EDLSTM_nD,../rnn_model/saved_pkl_model/EDLSTM_nD.pkl,cuda:0,3e-05,32.0,40.0,8.0,1000.0,1000.0,1000.0,1000.0,0.0,"[1, 2, 3]","[1, 2, 3]"
2019-11-04 14:11:32.919094,EDLSTM_nD,../rnn_model/saved_pkl_model/EDLSTM_nD.pkl,cuda:0,2.9999999999999997e-05,32.0,40.0,8.0,1000.0,1000.0,1000.0,1000.0,0.0,"[1, 2, 3]","[1, 2, 3]"
2019-11-04 14:12:06.428438,EDLSTM_nD,../rnn_model/saved_pkl_model/EDLSTM_nD.pkl,cuda:0,3e-05,32.0,40.0,8.0,1000.0,1000.0,1000.0,1000.0,0.0,"[1, 2, 3]","[1, 2, 3]"
