,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
q1,0.03790748,0.04316856,0.047053464,0.050569795,0.05301595,0.055151783,0.055060957,0.054328192,0.05483226,0.054890305,0.050247494,0.050230347,0.045999818,0.04367894,0.043639947,0.041594774,0.042848714,0.043375846,0.041326147,0.041740652,0.040410534,0.0390653,0.039302923,0.040016368,0.039408073,0.040747695,0.04027059,0.041203026,0.042825036,0.043559827,0.044594057,0.04528855,0.048159223,0.048604958,0.048592657,0.047284722,0.046366803,0.04543137,0.04500085,0.04423047,0.04259748,0.04130154,0.040447004,0.039136358,0.039347965,0.039791003,0.03925614,0.039188568,0.04086859,0.040710937,0.0406546,0.040826358,0.04140421,0.041903026,0.04393778,0.044808775,0.047966097,0.04514498,0.045274083,0.046787456
q2,0.03357081,0.039960355,0.04367689,0.04854245,0.050616927,0.053472895,0.05316154,0.052441493,0.053559404,0.05085168,0.046184972,0.04477018,0.040903248,0.04015238,0.040610265,0.0396358,0.03989337,0.039167203,0.038397208,0.03834708,0.038647976,0.03886635,0.03715159,0.037183404,0.036605403,0.035378784,0.037155144,0.03623192,0.03619485,0.037357077,0.039496478,0.040804766,0.040008806,0.0406404,0.041189693,0.041934155,0.04060193,0.03981889,0.038546216,0.03704748,0.03705295,0.037912786,0.03633906,0.036126778,0.035791688,0.03496083,0.034842975,0.03506557,0.03668043,0.036122054,0.036128312,0.035159767,0.0352717,0.034477618,0.03387349,0.03366474,0.035741866,0.03528642,0.0351767,0.03536967
q3,0.055900533,0.054462563,0.053249374,0.052389555,0.05276779,0.052263994,0.052399132,0.052608274,0.052889355,0.05388731,0.055222757,0.05633595,0.05640266,0.057211086,0.056492,0.056300234,0.057438035,0.05709655,0.058008358,0.057524104,0.057091024,0.05673606,0.0562799,0.05723785,0.05736559,0.058225628,0.058787175,0.059005395,0.059890445,0.059018515,0.058045693,0.056516595,0.056944773,0.056522697,0.05569996,0.055487316,0.054905925,0.055220477,0.05594065,0.056007396,0.055911195,0.05589434,0.05585675,0.05572335,0.056724854,0.057932556,0.05843875,0.058746144,0.058925718,0.059552714,0.058669373,0.058881275,0.058732055,0.05866597,0.05904822,0.0588551,0.05849263,0.05883562,0.058768626,0.059154317
q4,0.06158831,0.060375206,0.059648484,0.05816368,0.056958698,0.05535222,0.05438605,0.05373165,0.05330921,0.054604355,0.056868773,0.05706573,0.05584549,0.055616215,0.057602145,0.06072391,0.063250825,0.06413439,0.06338814,0.060422786,0.056733377,0.05948116,0.06063657,0.065115795,0.0650822,0.06616677,0.06529036,0.06347054,0.06400304,0.061580442,0.05932147,0.05763574,0.056344796,0.054939773,0.055911478,0.05618957,0.05852574,0.058735702,0.06020573,0.0591207,0.058161646,0.05836515,0.058388364,0.059169088,0.061602514,0.064034715,0.066676565,0.06624493,0.06652671,0.06615977,0.064197436,0.06376192,0.064827494,0.0635235,0.062360533,0.05985454,0.055987652,0.057304256,0.05720178,0.05781164
q5,0.04906161,0.049980387,0.050902285,0.052173197,0.052589603,0.05213231,0.051705245,0.05205311,0.052557983,0.053751297,0.053678088,0.054643303,0.05290607,0.05293837,0.05241243,0.052658837,0.054007884,0.054238617,0.052912686,0.051296256,0.049423084,0.049456216,0.050220363,0.05093167,0.05047629,0.05093439,0.05201994,0.051138766,0.0527393,0.05304677,0.052235022,0.052598774,0.05225151,0.052051507,0.05276478,0.053124797,0.053099904,0.052623667,0.05258939,0.052475914,0.052489128,0.052625354,0.051606737,0.050960384,0.05134306,0.0507886,0.051444255,0.051597927,0.05347053,0.05406747,0.05223404,0.05161821,0.050780732,0.05125559,0.05094469,0.05100275,0.050061014,0.05126171,0.051602006,0.051974945
q6,0.048086468,0.05006274,0.0534909,0.061321422,0.061280716,0.062387478,0.061434325,0.060331054,0.05843944,0.05592613,0.051995166,0.04865067,0.045107007,0.045274816,0.046381347,0.046114355,0.045910478,0.044356532,0.045002975,0.043047287,0.04125239,0.042895883,0.046518005,0.052375846,0.054771326,0.049715936,0.04536135,0.04273695,0.040991507,0.04162033,0.04245223,0.04584943,0.04432866,0.04578842,0.04818645,0.04815828,0.049793035,0.049283855,0.04716041,0.04713632,0.04418403,0.04369935,0.0425533,0.04363972,0.044231005,0.044453114,0.044758216,0.042800732,0.043434333,0.04025777,0.040699083,0.040102206,0.042363077,0.04307331,0.043229524,0.041688345,0.03897652,0.039559238,0.038190205,0.03995867
q7,0.05827704,0.058008723,0.05501792,0.05689594,0.054566603,0.05385628,0.05430765,0.053858213,0.054494616,0.05537088,0.05430917,0.053106412,0.0540658,0.056223907,0.05785227,0.059509158,0.0598238,0.06168085,0.060174473,0.058876008,0.058313794,0.058682673,0.059881106,0.058818042,0.057804033,0.055258133,0.053102463,0.051850695,0.051499624,0.051174253,0.05226397,0.053514123,0.053885236,0.054203775,0.054752693,0.055825643,0.05678415,0.058419578,0.058869846,0.05823249,0.057621185,0.057330787,0.056295265,0.05795546,0.05779232,0.057298962,0.05859176,0.056838334,0.056492474,0.05493885,0.0548625,0.05427043,0.054013528,0.054704756,0.052574396,0.05202025,0.04991695,0.04991573,0.051299144,0.053574886
q8,0.06375773,0.05919067,0.059360765,0.057658195,0.05621162,0.056561198,0.056568652,0.05665809,0.055561274,0.056844544,0.056826502,0.05718217,0.058530763,0.059814684,0.06130991,0.061767876,0.061502725,0.063807316,0.06381087,0.06378077,0.06425439,0.0611417,0.060940884,0.05722289,0.056907706,0.055779595,0.05412132,0.053743754,0.053272195,0.05367163,0.056002934,0.05709576,0.056769073,0.059162974,0.06075359,0.061801925,0.06303616,0.063237846,0.06246271,0.06179364,0.0629088,0.06312287,0.06242706,0.06147793,0.060065005,0.05724264,0.05823999,0.058665738,0.059073843,0.058450993,0.05933799,0.05726657,0.055556595,0.054774065,0.054663382,0.0552433,0.05438088,0.0549248,0.055834807,0.058467865
q9,0.060687676,0.059372645,0.05736489,0.05575543,0.054703705,0.054783054,0.054777324,0.055928543,0.056232806,0.055959545,0.05657684,0.05654902,0.058867022,0.059438393,0.058891498,0.059838317,0.059223432,0.05968643,0.06125669,0.06214659,0.062257215,0.061181508,0.05924687,0.057241395,0.057752553,0.058061045,0.058615174,0.05854128,0.057311073,0.057800665,0.057612047,0.05792015,0.05678922,0.058192626,0.05868744,0.057729013,0.058234863,0.059158526,0.059993725,0.061135653,0.06280246,0.06345992,0.0632327,0.06202168,0.060300738,0.05864101,0.059504203,0.059525527,0.05848175,0.05903945,0.058700036,0.058565475,0.057373125,0.05713763,0.056382824,0.05663871,0.057834826,0.0576076,0.056597523,0.056461267
q10,0.05897715,0.058115132,0.05706101,0.055420313,0.055684887,0.054587394,0.055362456,0.055708006,0.05584522,0.056171335,0.057935897,0.059072047,0.060362063,0.059685104,0.058792993,0.058938958,0.05844044,0.05682975,0.056989253,0.056703016,0.057982992,0.05874326,0.059714254,0.060565837,0.06100043,0.06205524,0.06224506,0.0627335,0.063072585,0.062039398,0.061346486,0.059540264,0.060213782,0.05927158,0.05816578,0.058214184,0.057789385,0.05835434,0.059410628,0.060098447,0.059654824,0.05912964,0.059952304,0.06022846,0.06063331,0.061401285,0.060054425,0.060002007,0.058841936,0.059243638,0.05887014,0.060554475,0.06075952,0.061600193,0.062588096,0.063295566,0.06381786,0.06457412,0.064514734,0.06368146
