,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
q1,0.035945,0.045219712,0.058039077,0.06298975,0.06972849,0.07477678,0.07322788,0.06739722,0.06091155,0.05473176,0.048547283,0.045726188,0.042507283,0.042799085,0.043427672,0.041526772,0.040954433,0.042477034,0.0435635,0.041581333,0.040863525,0.039264604,0.037357297,0.037191518,0.037090555,0.03717606,0.03660418,0.03550788,0.035904583,0.035728224,0.037534475,0.040409133,0.041502036,0.042829815,0.04314946,0.040905066,0.041057296,0.036762267,0.03541431,0.03448054,0.033419773,0.0341627,0.034006733,0.033829924,0.034252048,0.03450032,0.03590761,0.035023533,0.035635136,0.033671238,0.033918142,0.03271143,0.032843,0.031811006,0.03179548,0.032093868,0.03201767,0.033656538,0.03524917,0.03584191
q2,0.03160981,0.047712594,0.063140854,0.07788381,0.087475404,0.09115614,0.0860185,0.08212554,0.079524904,0.06250927,0.045710508,0.03669852,0.032818485,0.034612127,0.03638631,0.03457781,0.036025047,0.04001956,0.039904185,0.03813973,0.034010436,0.0303862,0.02945229,0.030002948,0.028224805,0.028750248,0.030751608,0.029596327,0.031190703,0.028410045,0.031049216,0.032613695,0.03642107,0.03681512,0.03688847,0.034457635,0.034535225,0.0317403,0.028136846,0.028914072,0.026066568,0.024466924,0.025571238,0.025370695,0.024172695,0.026447041,0.027182084,0.02647772,0.026741687,0.025166292,0.024789307,0.024274074,0.024318052,0.02411976,0.025555432,0.027162068,0.027305987,0.02719913,0.02855549,0.025114069
q3,0.05393663,0.051417902,0.04964076,0.046691842,0.04400099,0.04456304,0.045002103,0.044856876,0.046240456,0.04823239,0.05355143,0.058131218,0.060484562,0.05996407,0.058822475,0.058095634,0.05785872,0.05743891,0.057016507,0.057980515,0.058398526,0.059170786,0.059726477,0.05880489,0.059400447,0.058298446,0.05778813,0.056036197,0.056499112,0.056877002,0.055381328,0.05597072,0.056100138,0.05631418,0.056551833,0.056884646,0.05587841,0.05587305,0.056535028,0.0569668,0.05864436,0.060777813,0.061719224,0.06221814,0.06048462,0.061045535,0.060699113,0.059492953,0.059640616,0.05808889,0.05819864,0.05879664,0.058008976,0.058890052,0.057565354,0.058058146,0.058799185,0.05950421,0.05947548,0.061488196
q4,0.06210387,0.05776496,0.05393999,0.051242024,0.04986213,0.049363665,0.047254384,0.04859151,0.051594645,0.055827998,0.062961765,0.06295654,0.059820764,0.057346337,0.0572742,0.056964006,0.05795011,0.059385058,0.059411913,0.060527705,0.0620972,0.062073518,0.061696365,0.06052845,0.061206445,0.06035743,0.05954492,0.061107337,0.061288636,0.062370766,0.063228175,0.061721787,0.062002912,0.062227495,0.062182464,0.06050533,0.059879065,0.06150654,0.06109374,0.063505515,0.064711705,0.06621453,0.0663411,0.06619035,0.065672025,0.065097906,0.06269775,0.060212407,0.058610596,0.058612466,0.059423067,0.059524845,0.058243454,0.05923233,0.0596583,0.062022217,0.063457415,0.066348866,0.06636129,0.06787986
q5,0.050787203,0.053670116,0.05567624,0.055495836,0.056264807,0.05788717,0.055802166,0.057443935,0.05760971,0.054669835,0.05564008,0.05194974,0.049407233,0.04973914,0.050132275,0.051649667,0.0507998,0.052081198,0.050555598,0.04956057,0.05018366,0.050263867,0.04943169,0.04940015,0.049372718,0.051323965,0.049712136,0.049915932,0.0493718,0.04840394,0.049311038,0.04957179,0.050619785,0.051680833,0.052080315,0.052162822,0.05302511,0.052157007,0.050619576,0.04969252,0.050135385,0.04990977,0.049692422,0.050167684,0.048601974,0.048976857,0.048836105,0.046817392,0.04660804,0.045713708,0.0464199,0.04588532,0.04659842,0.0467347,0.04856744,0.04916121,0.05023683,0.051779132,0.052952066,0.050669353
q6,0.052132122,0.06193154,0.07568587,0.090601504,0.10155522,0.099692985,0.09418489,0.08306757,0.08204971,0.07363646,0.061154187,0.04462765,0.035435513,0.035368167,0.03611211,0.038663726,0.044788696,0.0476287,0.046379123,0.044275634,0.041042037,0.039386608,0.0394383,0.03909662,0.03928432,0.040198058,0.040249027,0.04107697,0.042133193,0.043639094,0.04543671,0.04728535,0.04984374,0.04893779,0.047722634,0.045478087,0.042468376,0.04140933,0.040140122,0.04172527,0.04031477,0.04083565,0.03529814,0.03461162,0.034622796,0.035803564,0.035207517,0.03469329,0.03433138,0.03535005,0.035243534,0.032961395,0.03616398,0.03400632,0.036920212,0.03857918,0.040735494,0.03999355,0.039951093,0.040541418
q7,0.057474837,0.054996405,0.05483041,0.054746356,0.052180268,0.052230123,0.053143892,0.05476283,0.053095624,0.056667432,0.0552587,0.054531313,0.05346352,0.0534605,0.054890133,0.055633247,0.055498935,0.055222414,0.05404155,0.0539022,0.0531189,0.055262133,0.054153368,0.05462172,0.05355059,0.05319018,0.05567664,0.054937016,0.056486867,0.057938993,0.05658202,0.057836518,0.05490019,0.056539766,0.05522199,0.055717435,0.05307287,0.054411985,0.056333892,0.057045452,0.056731135,0.05598794,0.057650406,0.056120485,0.056415588,0.05405984,0.054450057,0.053247213,0.053187333,0.0520985,0.054525457,0.054078758,0.056157418,0.05752273,0.059469648,0.058217175,0.058643006,0.058699273,0.05821936,0.05761794
q8,0.06508678,0.059793122,0.0551792,0.051172063,0.050252948,0.050111417,0.053371444,0.05727826,0.0593425,0.061910596,0.060058717,0.06049934,0.06225971,0.061752163,0.06315586,0.06558137,0.06434753,0.061069172,0.059675194,0.058436874,0.05954343,0.060238484,0.06051473,0.061864674,0.064119816,0.06746833,0.06812914,0.06713253,0.06767459,0.06400408,0.063062266,0.06201832,0.058694564,0.05861072,0.0597001,0.06042835,0.062213384,0.063038155,0.065073565,0.06496781,0.06552814,0.064773485,0.06337118,0.06274793,0.06428587,0.06201959,0.062997855,0.0643083,0.06550738,0.06636328,0.06607406,0.064799525,0.06676901,0.066049404,0.06562899,0.06476922,0.06699712,0.06538752,0.063600495,0.063108794
q9,0.060883485,0.058701433,0.053527415,0.051918898,0.0490458,0.048698645,0.051131874,0.053587615,0.053842567,0.05718151,0.057300374,0.057644747,0.059475992,0.061503597,0.062001787,0.06134305,0.060235493,0.061544858,0.059461538,0.05882132,0.06002508,0.06010944,0.060394533,0.062248893,0.06260389,0.06278966,0.06270218,0.06382893,0.06351143,0.06319659,0.061601847,0.06220244,0.059156626,0.06031816,0.059492692,0.060776763,0.062546246,0.06385799,0.06386555,0.062222816,0.061586842,0.06163478,0.06166455,0.061304234,0.06278901,0.061490804,0.062152315,0.062514424,0.06251391,0.06195339,0.06305961,0.0639001,0.065084904,0.0650456,0.065128505,0.06414728,0.062071234,0.061518192,0.06078988,0.05812402
q10,0.059695616,0.056809045,0.05228151,0.048913993,0.045132708,0.044204768,0.046020124,0.04679517,0.047321424,0.048538677,0.053287208,0.058619924,0.06088996,0.06051237,0.0598511,0.060274526,0.060414933,0.05838445,0.059435073,0.060835414,0.062044397,0.06273033,0.06421107,0.06326971,0.06314609,0.061474483,0.060417723,0.0604807,0.05993657,0.060512982,0.06036865,0.059578914,0.060048796,0.05941944,0.060444966,0.06142755,0.061291195,0.061289635,0.061834633,0.062283285,0.06260417,0.06305483,0.06354048,0.06334615,0.06270823,0.06324553,0.062290464,0.0639743,0.064594224,0.064325646,0.064143315,0.06564727,0.06355409,0.06498842,0.0635358,0.063194945,0.062416214,0.061914537,0.061450083,0.06421561
