,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
q1,3.1963765e-08,1.7757248e-08,3.745653e-08,2.1285462e-06,6.711301e-07,1.7296111e-06,8.334506e-07,1.942687e-06,2.8912427e-06,1.4078739e-06,2.201399e-06,6.860685e-08,4.0785312e-07,8.807498e-07,3.889064e-07,3.0734213e-07,2.1591103e-07,3.8183111e-07,1.4783436e-06,4.5591457e-07,1.6557025e-06,2.799583e-07,3.216742e-07,3.4364194e-07,1.4387241e-07,5.920112e-06,1.7798419e-07,1.0255686e-06,2.241352e-06,4.6697164e-06,2.4322405e-06,1.489818e-06,1.9050113e-06,9.5055884e-07,1.2909778e-06,1.9054298e-06,1.5480349e-06,1.2485497e-06,3.6304984e-06,7.595154e-07
q2,3.8934374e-08,2.428585e-08,5.661981e-08,6.2960203e-06,1.306325e-06,4.598064e-06,1.5477377e-06,5.668521e-06,7.979388e-06,3.3516928e-06,7.38278e-06,1.4433088e-07,1.2142192e-06,2.015519e-06,9.354876e-07,6.574743e-07,3.3869793e-07,6.5101915e-07,5.1817974e-06,8.929009e-07,5.4999055e-06,5.729247e-07,6.4513307e-07,7.480303e-07,2.9088932e-07,1.6887081e-05,3.1833167e-07,2.1276671e-06,6.1177307e-06,1.1401977e-05,5.245855e-06,5.562201e-06,5.43489e-06,2.2881372e-06,4.9759474e-06,3.876967e-06,3.7827022e-06,2.9926273e-06,6.355846e-06,2.056227e-06
q3,3.1285765e-08,1.6867041e-08,3.4482873e-08,1.620921e-06,5.478575e-07,1.2611106e-06,7.417003e-07,1.4625886e-06,2.1062856e-06,1.1047941e-06,1.3819674e-06,5.781203e-08,3.0267353e-07,6.839824e-07,3.054512e-07,2.4953778e-07,2.0967374e-07,3.5904563e-07,9.492221e-07,3.9017408e-07,1.1149959e-06,2.3766619e-07,2.7985305e-07,2.9131965e-07,1.2391668e-07,4.7274993e-06,1.5812206e-07,8.8257775e-07,1.8298765e-06,4.1162702e-06,1.9095796e-06,1.0340464e-06,1.3922265e-06,7.995802e-07,8.3757607e-07,1.6667814e-06,1.2374596e-06,1.0602312e-06,3.7266336e-06,6.1097313e-07
q4,3.2674325e-08,1.8263458e-08,4.1827967e-08,3.3087483e-06,9.0591357e-07,2.5602785e-06,1.2025184e-06,3.0588117e-06,4.0507402e-06,2.0275527e-06,3.123111e-06,7.79841e-08,5.43077e-07,1.2047332e-06,5.2276954e-07,4.1916329e-07,3.0462613e-07,5.4164354e-07,2.2120307e-06,6.57942e-07,2.3808263e-06,3.968504e-07,4.3329794e-07,4.503664e-07,1.7844746e-07,1.0059689e-05,2.2365505e-07,1.6515881e-06,3.3767108e-06,8.204977e-06,3.5529238e-06,2.100843e-06,2.8354157e-06,1.3874039e-06,1.8186041e-06,3.0019696e-06,2.2604736e-06,1.8981073e-06,7.2754333e-06,1.1302318e-06
q5,2.780929e-08,1.6340724e-08,3.806533e-08,3.498064e-06,9.022337e-07,2.8226918e-06,1.1054515e-06,3.3761626e-06,4.713851e-06,2.186121e-06,4.207465e-06,8.4199456e-08,6.4028166e-07,1.2599253e-06,5.5960595e-07,4.1985228e-07,2.5206242e-07,4.6673983e-07,2.8757995e-06,6.012925e-07,2.9665698e-06,3.767849e-07,4.150174e-07,4.5606473e-07,1.779393e-07,1.0815186e-05,2.07891e-07,1.4692921e-06,3.5127428e-06,7.44477e-06,3.5489895e-06,2.692931e-06,3.0799883e-06,1.4203985e-06,2.4687815e-06,2.7243586e-06,2.369702e-06,1.8949111e-06,5.2905634e-06,1.1914768e-06
q6,1.8315409e-07,1.0485908e-07,3.8589363e-07,0.000492739,5.7622412e-05,0.0003914563,3.7977574e-05,0.0005936006,0.00039090432,0.0001255883,0.00072025263,2.7800425e-06,7.468363e-05,0.000119148404,4.360754e-05,2.9991432e-05,5.574094e-06,1.6833501e-05,0.00054609316,6.413679e-05,0.00060228136,3.321745e-05,2.2759214e-05,3.2916752e-05,7.1246213e-06,0.00088590675,1.5090606e-05,0.00019916413,0.0005936627,0.00091512,0.00035370633,0.000524516,0.00066100486,7.711097e-05,0.00039768452,0.00023624733,0.00014229922,0.00012251684,0.0002988881,0.00010030132
q7,2.9708255e-08,1.67672e-08,3.7093567e-08,3.0335018e-06,7.661035e-07,2.108453e-06,9.749326e-07,2.537774e-06,3.4680593e-06,1.7185414e-06,2.6119656e-06,7.2583404e-08,4.891774e-07,9.894707e-07,4.5004737e-07,3.5438123e-07,2.5912036e-07,4.6619863e-07,1.9062804e-06,5.533128e-07,2.1561038e-06,3.4034787e-07,3.7116234e-07,3.909018e-07,1.5962105e-07,7.967954e-06,1.9433313e-07,1.3506811e-06,2.9281866e-06,6.780957e-06,2.8121217e-06,2.0170341e-06,2.442655e-06,1.2123694e-06,1.6703364e-06,2.494285e-06,1.8638722e-06,1.6462471e-06,5.596807e-06,9.937139e-07
q8,1.1457963e-09,1.0283012e-09,6.4452683e-09,0.00013534813,8.565448e-06,0.00024738204,3.7507277e-06,0.00028754666,0.0004362869,3.6326182e-05,0.0010052274,4.2638263e-07,4.0700364e-05,4.862456e-05,1.5394528e-05,7.5706125e-06,2.720041e-07,1.0112431e-06,0.00093794015,6.1706924e-06,0.00117987,4.5719535e-06,2.5593085e-06,6.220761e-06,1.1888303e-06,0.001347411,2.2554598e-06,2.1869502e-05,0.001234062,0.0013231372,0.000114960094,0.0010568228,0.0009302537,5.316123e-05,0.001020177,2.4399953e-05,2.6703548e-05,2.4680692e-05,7.0524286e-05,1.986113e-05
q9,1.9565615e-08,1.1507771e-08,2.4230896e-08,1.6296991e-06,4.7109955e-07,1.3161621e-06,5.9549325e-07,1.5244225e-06,2.2857196e-06,1.1166953e-06,1.6579503e-06,4.9466966e-08,3.147841e-07,5.8548756e-07,2.8439024e-07,2.1509653e-07,1.563719e-07,2.8108818e-07,1.2187e-06,3.0735265e-07,1.2604442e-06,1.9906665e-07,2.267523e-07,2.4600308e-07,1.00771516e-07,5.039619e-06,1.12656885e-07,6.9817145e-07,1.673143e-06,4.0334667e-06,1.6012682e-06,1.2694817e-06,1.3316638e-06,7.9367163e-07,1.1048122e-06,1.4073762e-06,1.1413658e-06,9.956984e-07,3.2612663e-06,5.910547e-07
q10,2.754912e-08,1.5790867e-08,3.4470762e-08,2.6161442e-06,7.239573e-07,2.0155978e-06,8.766549e-07,2.31695e-06,3.3087417e-06,1.5630984e-06,2.6803189e-06,7.0884425e-08,4.8572656e-07,9.56589e-07,4.2821483e-07,3.2637635e-07,1.9883419e-07,3.6322248e-07,1.8139333e-06,4.7441756e-07,2.0063871e-06,2.9233024e-07,3.285032e-07,3.6463214e-07,1.4368236e-07,7.0902533e-06,1.6341703e-07,1.0698783e-06,2.4904618e-06,5.2105042e-06,2.5037596e-06,1.8401124e-06,2.1191113e-06,9.733659e-07,1.5896396e-06,1.910776e-06,1.672364e-06,1.2333992e-06,3.7616637e-06,7.7828054e-07
