,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
q1,0.040191688,0.04070146,0.043866243,0.04507655,0.044894867,0.04406714,0.0461542,0.047327865,0.047702502,0.045159027,0.043878306,0.042726006,0.044298597,0.044483837,0.042194102,0.042659923,0.04485171,0.04583874,0.047551982,0.04722391,0.05026934,0.048721645,0.04901027,0.04999588,0.052726608,0.054911815,0.051194817,0.049945645,0.048652712,0.04928021,0.048039123,0.04826048,0.048189256,0.04872641,0.04919863,0.0507356,0.051548243,0.050332583,0.050225843,0.047499444
q2,0.030247692,0.03189115,0.032962535,0.032857265,0.032932624,0.03305826,0.033877764,0.033022944,0.034864634,0.036586594,0.035948098,0.0358412,0.037263375,0.038564388,0.03855583,0.03889899,0.040722717,0.040428527,0.038636934,0.03928849,0.042502057,0.04279427,0.040828373,0.039510675,0.03819412,0.039554723,0.039022267,0.03809577,0.038980417,0.038686365,0.036814254,0.03771314,0.039656997,0.041864254,0.041820973,0.041421704,0.040765744,0.041667826,0.041052073,0.040308043
q3,0.061232373,0.059530184,0.060177192,0.061031446,0.060778923,0.060236007,0.059642825,0.06022753,0.059634194,0.058813207,0.058028918,0.058164362,0.058391973,0.058586344,0.05926472,0.059505228,0.05898401,0.058054175,0.058353435,0.057404157,0.056629002,0.056962393,0.05788337,0.05862982,0.05809802,0.059356567,0.058766752,0.058701582,0.05820061,0.058100283,0.057224315,0.057443075,0.058442038,0.057957087,0.058311567,0.058044925,0.057469033,0.05871319,0.056274872,0.05562599
q4,0.060675234,0.06054412,0.060802594,0.061570674,0.061108887,0.060244225,0.0594711,0.059177186,0.057960592,0.057546265,0.057768762,0.05694207,0.05773545,0.056233052,0.057055946,0.05931627,0.06231709,0.064527534,0.06426909,0.061751734,0.06313364,0.06360291,0.06361854,0.06294646,0.060113367,0.058386825,0.056086212,0.056285415,0.05695526,0.056388732,0.057523016,0.059061997,0.059211843,0.059727818,0.059608385,0.059429143,0.058714017,0.06111697,0.062499292,0.06203525
q5,0.050583832,0.0499939,0.05134162,0.051923014,0.05303079,0.052584194,0.05322282,0.053121544,0.05210311,0.050710417,0.051901363,0.051837537,0.052330874,0.05244828,0.05298599,0.052851796,0.05427468,0.054674007,0.053554773,0.05348212,0.056020763,0.055090737,0.05542193,0.055225167,0.05416281,0.05314923,0.051488496,0.052429937,0.05139947,0.051614717,0.05300942,0.054583658,0.054627545,0.055822294,0.053988077,0.052969452,0.051809058,0.053257074,0.054513834,0.051975895
q6,0.036240477,0.038814276,0.037845325,0.03687921,0.03695131,0.03692833,0.03762634,0.03864956,0.039536715,0.043280043,0.044847704,0.04488112,0.046430696,0.04553572,0.044470884,0.046161696,0.047691125,0.049140677,0.046141844,0.04819025,0.04984568,0.05090768,0.04972037,0.046513148,0.043682795,0.041446377,0.041864544,0.04044524,0.0396932,0.041295793,0.046712846,0.05129187,0.05123391,0.04972175,0.04634344,0.043189578,0.042823616,0.0439402,0.04892654,0.050047472
q7,0.057320517,0.056845527,0.05521368,0.05475763,0.054843392,0.054761574,0.055689424,0.05614894,0.056146383,0.058040418,0.058053263,0.057217848,0.05585222,0.05534103,0.05596428,0.05430795,0.054437473,0.055553436,0.054906063,0.054693326,0.05606194,0.05825817,0.057390172,0.05720281,0.057048477,0.054894924,0.053533744,0.054323167,0.055122335,0.055451784,0.053598013,0.054443803,0.056449935,0.057899706,0.058418453,0.057232015,0.056934685,0.056414828,0.057306536,0.05732332
q8,0.060619123,0.058789454,0.05936234,0.057052977,0.058047295,0.05905705,0.060808323,0.060444593,0.06270337,0.06285326,0.06241279,0.061959516,0.059827723,0.060664438,0.060734272,0.06074999,0.06005755,0.05989149,0.059746765,0.060563773,0.06029384,0.06026014,0.060898185,0.062215917,0.06364451,0.065022,0.06584096,0.06310398,0.06013624,0.058941573,0.057749927,0.059655514,0.06010454,0.059886523,0.061867803,0.06493364,0.06729884,0.06757997,0.06674999,0.064909935
q9,0.05898119,0.05911444,0.057069585,0.05661564,0.057303485,0.057244938,0.05654682,0.05668419,0.057923887,0.058690507,0.059199832,0.05951507,0.05790332,0.05711007,0.058120742,0.057005413,0.054429572,0.052797485,0.052655987,0.053807475,0.054115854,0.05584821,0.055534206,0.05451264,0.05327536,0.052613802,0.054317314,0.056070536,0.057480093,0.058216397,0.057018965,0.057059072,0.05898363,0.057933368,0.058556538,0.056428697,0.057153087,0.05791348,0.05887721,0.059147168
q10,0.0628231,0.06193006,0.06256916,0.06338161,0.06319292,0.06341648,0.061413087,0.06183803,0.059939012,0.058932483,0.059612647,0.060503747,0.061347082,0.061547905,0.061959207,0.061952144,0.059495624,0.05969648,0.05991952,0.058619987,0.05580925,0.055278018,0.05631066,0.05774636,0.057927668,0.05874876,0.05971435,0.05913549,0.060370788,0.060026307,0.059961796,0.05906406,0.058359724,0.05764929,0.057591718,0.057517212,0.05633988,0.055818826,0.054651577,0.055917993
q11,0.06520328,0.063870504,0.06411781,0.06384057,0.06472792,0.06523785,0.0652189,0.06514771,0.06489125,0.06366661,0.063593335,0.06416859,0.062957875,0.062775426,0.06285676,0.062157646,0.059925705,0.05902873,0.059772674,0.059796277,0.058366925,0.058022007,0.05814658,0.05815803,0.059455916,0.05981177,0.060153797,0.06023994,0.060525887,0.060638085,0.060959782,0.060356,0.060215525,0.060260244,0.060356736,0.06013381,0.05999645,0.059281737,0.05795395,0.057386953
p1,0.04535767,0.046992198,0.045966882,0.04763627,0.046532977,0.047076248,0.04680422,0.046745267,0.045521025,0.046758417,0.04672215,0.046425648,0.047475446,0.047641587,0.047253255,0.047951847,0.04856391,0.0488363,0.050800364,0.04945781,0.047959216,0.04726777,0.045739546,0.046840414,0.046478767,0.04562891,0.046869546,0.049042042,0.048421133,0.048124358,0.04900716,0.04887326,0.047286607,0.04828792,0.051540308,0.051578414,0.0517,0.049932845,0.048833862,0.04982368
p2,0.06198167,0.06164529,0.061670806,0.061179616,0.06294485,0.062885,0.06292609,0.06246908,0.06250876,0.061918147,0.06291743,0.064373836,0.062676534,0.062207766,0.0628449,0.062465005,0.05985687,0.058530174,0.058830876,0.057837643,0.057206362,0.056703858,0.057799056,0.05811864,0.059958912,0.061633162,0.06109566,0.061194774,0.061712235,0.06125364,0.06138618,0.059930295,0.05969654,0.05935091,0.058645748,0.05734869,0.05780378,0.05747948,0.05726856,0.05754514
p3,0.053742692,0.05664523,0.05341163,0.05253515,0.05079889,0.05119561,0.05152272,0.05190881,0.052441776,0.053231385,0.05421682,0.054685738,0.0559051,0.05589655,0.055858556,0.055377662,0.059122182,0.061134603,0.061130494,0.063097484,0.062079906,0.06303512,0.06222769,0.059945177,0.05657414,0.053552635,0.05549506,0.05555538,0.05624287,0.057424992,0.056967337,0.05475444,0.0531858,0.05529158,0.05548516,0.05640634,0.055419534,0.05359255,0.055896148,0.060384087
p4,0.06500644,0.06421244,0.06438695,0.064194515,0.06366299,0.06351639,0.06312559,0.06298072,0.062419638,0.06137768,0.060668353,0.060746502,0.060498774,0.061184403,0.06134013,0.060647003,0.059292004,0.059158117,0.059561238,0.059197582,0.057199255,0.056303516,0.05640421,0.05751607,0.059535634,0.05982851,0.06066702,0.06106452,0.061372094,0.061109394,0.06096799,0.0591623,0.05877354,0.058155462,0.058159813,0.058715906,0.058301017,0.057519123,0.055930145,0.05672973
p5,0.062731124,0.06326921,0.06314492,0.063528314,0.06285613,0.06281816,0.0616192,0.06085228,0.060935717,0.06089524,0.05934207,0.058537837,0.057570748,0.05802296,0.05820589,0.058620237,0.058703706,0.05700796,0.05758952,0.05858631,0.057420596,0.056705173,0.058001198,0.058847167,0.06096507,0.06259639,0.063447714,0.06331278,0.06286946,0.06353502,0.06490129,0.0626702,0.059611645,0.05675081,0.05630134,0.05768488,0.058659676,0.05852565,0.057526216,0.058832426
p6,0.0646487,0.06405378,0.06440795,0.06450333,0.06407211,0.064183705,0.06347433,0.0632402,0.06225315,0.061323017,0.060706947,0.060672652,0.06067127,0.06108448,0.06146856,0.061246037,0.059759554,0.05919932,0.060063224,0.059756227,0.057833843,0.05707384,0.05763794,0.058684915,0.060379826,0.061136294,0.061944745,0.061870478,0.062165417,0.06152902,0.061344713,0.059261765,0.05881443,0.058040686,0.05786497,0.058692604,0.057978272,0.057533447,0.05634307,0.056974463
p7,0.0624132,0.06115678,0.061682794,0.061436236,0.061319634,0.06148882,0.06085626,0.060013555,0.060514294,0.060217287,0.060181227,0.06080071,0.060862936,0.060671777,0.05886598,0.058125164,0.05751451,0.05650226,0.056515224,0.057245437,0.057252534,0.05716455,0.0574277,0.057390705,0.057777997,0.057727322,0.058496997,0.059183344,0.05969978,0.058383323,0.056813896,0.05641505,0.05715649,0.056673896,0.055940337,0.057537373,0.05928509,0.05938022,0.059170272,0.05753301
