,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
q1,0.05220311,0.052170224,0.05246244,0.052763663,0.053093005,0.053212244,0.05333014,0.05334565,0.053053655,0.05267209,0.05258356,0.052613415,0.052632123,0.05237837,0.052094415,0.051619004,0.05126684,0.05098621,0.05094357,0.050940596,0.05151223,0.052066386,0.052266564,0.052541636,0.052831743,0.053152885,0.053559676,0.05393928,0.054294758,0.054680016,0.05493948,0.055114232,0.05514186,0.054840047,0.054461014,0.054061785,0.053839415,0.05327002,0.05279033,0.052096926
q2,0.050298654,0.05036632,0.05040212,0.050508764,0.050724838,0.050750583,0.05081636,0.0509004,0.050884984,0.050924692,0.0512534,0.05160221,0.051615946,0.0515804,0.051422425,0.051556908,0.051560722,0.05152818,0.051652405,0.051623214,0.051552743,0.051596146,0.051544946,0.051302023,0.051013656,0.050989382,0.050991457,0.050981283,0.051120576,0.051446907,0.051542707,0.051413722,0.05124016,0.051409252,0.05163057,0.051921073,0.05214633,0.05222221,0.052103058,0.052128054
q3,0.05611141,0.056070372,0.05616443,0.05631072,0.056336533,0.056316167,0.05639765,0.05631192,0.05605648,0.055797204,0.055581864,0.05541549,0.05538492,0.055270806,0.055135332,0.055048652,0.05500309,0.055052295,0.055140786,0.055247582,0.055418774,0.055702336,0.055849783,0.056070056,0.0563134,0.056489564,0.056718506,0.056783933,0.05668021,0.056530192,0.056459844,0.056471147,0.056523442,0.056337163,0.055953197,0.05550966,0.055331,0.05521691,0.055133004,0.054978278
q4,0.056710795,0.056879446,0.05707288,0.057275444,0.057199888,0.056808315,0.05640226,0.05596814,0.05569754,0.05549005,0.055426594,0.055600807,0.055906933,0.05598028,0.05618903,0.056331664,0.056426104,0.05675732,0.05713306,0.057704687,0.058181167,0.058464102,0.058122016,0.05768558,0.05736257,0.057296976,0.057198867,0.056969486,0.056621566,0.05619173,0.05623694,0.056406885,0.056223445,0.055536076,0.05479268,0.054256037,0.05423825,0.054611843,0.05526822,0.055762894
q5,0.054800987,0.054749697,0.054830547,0.054984286,0.05519727,0.055222236,0.05516674,0.05506906,0.05496873,0.054846555,0.054860465,0.055007614,0.055115923,0.055016097,0.055164836,0.055304073,0.05531588,0.05519171,0.055202186,0.055127468,0.05529291,0.055284582,0.054986686,0.054897748,0.05480862,0.05492616,0.05495265,0.05491962,0.054821074,0.05472012,0.054824986,0.05504671,0.055089757,0.054812588,0.05457505,0.054337136,0.054388855,0.054404803,0.054592744,0.05461654
q6,0.05120281,0.051384028,0.05162154,0.05174119,0.051701047,0.05121068,0.050786346,0.050823465,0.051008273,0.051428057,0.05207391,0.052497335,0.052891277,0.05338389,0.053777672,0.05373633,0.05390857,0.054107275,0.054541256,0.05488435,0.05517829,0.054829016,0.053704858,0.05269648,0.052106716,0.051864784,0.051807765,0.051725082,0.051149163,0.050598223,0.050440304,0.05073419,0.051143102,0.051163107,0.051003873,0.050871868,0.05097849,0.05188999,0.053064644,0.054310337
q7,0.05534576,0.055330053,0.0550772,0.054841273,0.05485655,0.05487924,0.05477039,0.05486098,0.05511408,0.055452578,0.055773117,0.056084838,0.056334943,0.05666112,0.057063952,0.05721176,0.057074912,0.056898594,0.056886718,0.05677902,0.056805663,0.05648073,0.055791102,0.05492551,0.054268397,0.053982392,0.05379691,0.05368279,0.053420305,0.053377073,0.053548396,0.0539364,0.054283146,0.054383364,0.054508455,0.054672897,0.054950476,0.055650897,0.056484126,0.057099987
q8,0.0569207,0.05680972,0.056467347,0.056254596,0.05616209,0.05637943,0.05653351,0.056790583,0.057149317,0.057507783,0.05778085,0.057997674,0.058005482,0.058154315,0.05824742,0.058332365,0.058140315,0.057821,0.05739165,0.056903064,0.056524232,0.056163706,0.055693798,0.054981217,0.0543359,0.054152578,0.054338142,0.054788258,0.055098526,0.055308774,0.05521096,0.055148948,0.055514902,0.05633462,0.05733364,0.058244694,0.058749054,0.05884039,0.058768697,0.058704797
q9,0.057036385,0.056914825,0.0567098,0.056493416,0.056292202,0.056310788,0.056141734,0.056289643,0.056634136,0.05699885,0.057128638,0.0571494,0.05707757,0.057188768,0.057310544,0.05750127,0.057470765,0.05742893,0.057240296,0.057019718,0.05668665,0.05647529,0.056511592,0.056408823,0.056250192,0.05611024,0.055924036,0.05590187,0.055964276,0.055910025,0.055804756,0.055708654,0.05587202,0.05630747,0.056846768,0.05742473,0.057516426,0.057646085,0.057639617,0.05780102
q10,0.056839474,0.056619726,0.056586526,0.056646276,0.0567138,0.05691659,0.057161085,0.05711583,0.057001278,0.05682802,0.056696214,0.056586687,0.056560986,0.056438334,0.056195907,0.05604978,0.05598098,0.055933435,0.055803318,0.0557789,0.055654705,0.05563138,0.05591377,0.05632569,0.0567864,0.056950867,0.056992095,0.056926325,0.05688662,0.05684169,0.05695544,0.057031345,0.05710484,0.05702517,0.056903206,0.056815673,0.056764275,0.056639362,0.0564426,0.056217622
q11,0.057115294,0.056865226,0.056733396,0.056652226,0.05681505,0.05713579,0.05743967,0.057638235,0.05767034,0.057645038,0.05753664,0.057387214,0.05726832,0.05714956,0.05689752,0.056706805,0.056639034,0.056474272,0.056155164,0.05571182,0.05528953,0.05501578,0.055218913,0.055571876,0.055933505,0.056099858,0.056264795,0.05640329,0.056574948,0.056768544,0.056888606,0.056945086,0.057156913,0.057418376,0.057741575,0.05792878,0.057897285,0.057597846,0.05714509,0.056745965
