,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
q1,-2.0295744,-2.0729673,-2.074895,-2.0776372,-2.080179,-2.085991,-2.096146,-2.1055837,-2.1195402,-2.130528,-2.1378314,-2.1407225,-2.139289,-2.1376853,-2.14061,-2.138041,-2.139023,-2.1416287,-2.1423283,-2.1458576,-2.1410189,-2.1329217,-2.1260457,-2.113207,-2.1012685,-2.0946584,-2.0942335,-2.1051385,-2.1185474,-2.1376235,-2.1504748,-2.1611462,-2.1705046,-2.1874313,-2.2031693,-2.2154138,-2.2276542,-2.236998,-2.2413087,-2.2383306
q2,-1.8607967,-1.8994929,-1.9007542,-1.9032941,-1.9074028,-1.9158762,-1.9257035,-1.9346544,-1.9457986,-1.9557681,-1.9632258,-1.9678252,-1.9687932,-1.9688677,-1.9717453,-1.9690535,-1.968858,-1.9689362,-1.9687192,-1.9695423,-1.9636711,-1.9559938,-1.9506677,-1.9417815,-1.9337435,-1.928729,-1.9270198,-1.9340332,-1.9416114,-1.955025,-1.9656324,-1.9767741,-1.9863231,-2.0023944,-2.0164106,-2.026173,-2.0338573,-2.0403628,-2.0435035,-2.0418892
q3,-0.5916068,-0.6040141,-0.6047789,-0.6061017,-0.6043463,-0.6029031,-0.6065596,-0.61029094,-0.6190036,-0.6254429,-0.63072646,-0.63209724,-0.63007766,-0.6283398,-0.63128835,-0.6291173,-0.6319434,-0.63423836,-0.63488156,-0.64022774,-0.6368013,-0.6321247,-0.6282389,-0.6202336,-0.6131885,-0.60802996,-0.6051206,-0.61266613,-0.621479,-0.63685155,-0.64778686,-0.6545793,-0.6589478,-0.6712856,-0.6807362,-0.6886432,-0.69637346,-0.7032074,-0.7046965,-0.7032723
q4,-1.9859312,-2.0166638,-2.0174506,-2.0208354,-2.0243447,-2.0273101,-2.0341568,-2.0403988,-2.0499856,-2.0596895,-2.0662498,-2.0697865,-2.0693817,-2.0693412,-2.0706463,-2.0687957,-2.069187,-2.069295,-2.0677354,-2.070559,-2.0663874,-2.058908,-2.0530381,-2.0437765,-2.0345578,-2.0308137,-2.0312202,-2.040328,-2.0508292,-2.0655482,-2.0769362,-2.0867314,-2.0924087,-2.1050782,-2.1176658,-2.127984,-2.137731,-2.1458492,-2.1498327,-2.147147
q5,-1.921591,-1.958601,-1.9597607,-1.9616829,-1.9635246,-1.9676883,-1.9750193,-1.982671,-1.9933116,-2.0036788,-2.010366,-2.014205,-2.013678,-2.0116587,-2.013436,-2.011228,-2.0098093,-2.0114522,-2.0126736,-2.0125308,-2.006555,-1.9982848,-1.990698,-1.9791033,-1.9682074,-1.9607279,-1.9578277,-1.9643123,-1.9747028,-1.9894242,-2.0014048,-2.0093875,-2.0183098,-2.0338254,-2.0484061,-2.0609748,-2.072776,-2.0831668,-2.089521,-2.0897121
q6,-1.8870538,-1.9188726,-1.9185109,-1.9197882,-1.9198709,-1.9236058,-1.9304421,-1.93749,-1.949886,-1.959019,-1.9666767,-1.971211,-1.9717264,-1.9721109,-1.977586,-1.9771106,-1.9815121,-1.9884979,-1.9904484,-1.9959971,-1.9916424,-1.9849594,-1.9791229,-1.9679517,-1.9581833,-1.9508489,-1.9492059,-1.9587877,-1.9693937,-1.9864596,-1.9955394,-2.0031383,-2.0085201,-2.0218987,-2.0330305,-2.0420866,-2.0516224,-2.0599482,-2.063705,-2.0620942
q7,-2.0574422,-2.0974216,-2.0981596,-2.099856,-2.1024234,-2.1089084,-2.1193805,-2.128523,-2.1421065,-2.152954,-2.1606457,-2.1642003,-2.1631951,-2.1629605,-2.167567,-2.165859,-2.165651,-2.167118,-2.1652513,-2.168167,-2.1611953,-2.15223,-2.1451678,-2.133457,-2.1228445,-2.116466,-2.114864,-2.1254315,-2.1379144,-2.1574464,-2.1719375,-2.1845343,-2.195684,-2.2151146,-2.2322872,-2.244443,-2.2555609,-2.264758,-2.268837,-2.2661247
q8,-1.9590073,-2.0025122,-2.0064332,-2.01094,-2.013228,-2.0169241,-2.0247915,-2.0320656,-2.0442019,-2.0552688,-2.0634289,-2.0677538,-2.0668077,-2.0650654,-2.0659409,-2.0614107,-2.0610614,-2.062161,-2.0610275,-2.0645993,-2.0597584,-2.0537255,-2.0497863,-2.0401344,-2.0299075,-2.0230165,-2.020973,-2.030603,-2.041455,-2.0595233,-2.0726023,-2.0838418,-2.0914469,-2.1065707,-2.1208365,-2.1318004,-2.1428463,-2.152763,-2.1583033,-2.1566358
q9,-2.130681,-2.1679769,-2.170161,-2.1727433,-2.1754956,-2.1834893,-2.1929886,-2.201938,-2.214417,-2.2242641,-2.2317543,-2.2349439,-2.233812,-2.2332115,-2.237886,-2.2360952,-2.2381902,-2.2409246,-2.2400916,-2.2437983,-2.2388775,-2.2308578,-2.2251356,-2.2133014,-2.2025266,-2.1958332,-2.195842,-2.2068613,-2.2194378,-2.2394328,-2.2522645,-2.2645104,-2.2726736,-2.2894688,-2.3041368,-2.3142197,-2.3242164,-2.332796,-2.3369226,-2.333939
q10,-1.9399948,-1.9767416,-1.9768457,-1.9779832,-1.980259,-1.9858807,-1.994749,-2.0032141,-2.0140815,-2.0238395,-2.0300243,-2.0338295,-2.0338826,-2.0336504,-2.0369415,-2.0354419,-2.0352902,-2.0375443,-2.0377793,-2.0379925,-2.031138,-2.021949,-2.0145283,-2.003676,-1.9939225,-1.9882023,-1.9862372,-1.9928155,-2.0009701,-2.0139217,-2.0245564,-2.0331473,-2.042152,-2.0590243,-2.0738063,-2.0849452,-2.0942388,-2.1017299,-2.105819,-2.1049285
